"","course_instructor","course_name","course_rating","course_university","course_review_num","course_desc","course_url","course_provider","course_price"
"1","Joe Warren, Scott Rixner, John Greiner, Stephen Wong","An Introduction to Interactive Programming in Python",10,"Rice University","2780 reviews","This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.","https://www.coursetalk.com/providers/coursera/courses/an-introduction-to-interactive-programming-in-python","Coursera","Free"
"2","Rob Percival","The Complete iOS8 and Swift Course: Learn by Building 15 Real World Apps",10,"","574 reviews","iOS App Development from scratch in 6 weeks - build full apps including Instagram and Snapchat Clones. With free Ebook","https://www.coursetalk.com/providers/udemy/courses/the-complete-ios8-and-swift-course-learn-by-building-15-real-world-apps","Udemy","$199.00"
"3","Alun Hill","UDEMY See How I Make $30,000 A Month On Udemy - No Outlay!",10,"","180 reviews","See how with NO ADVERTISING I make $30,000 every month by creating simple courses. Everything I do is clearly shown.","https://www.coursetalk.com/providers/udemy/courses/how-i-make-4000-a-week-from-udemy-courses-with-no-marketing","Udemy","$299.00"
"4","Dave McFarland","JavaScript Basics",10,"","198 reviews","JavaScript is a programming language that drives the web: from front-end user
interface design, to backend server-side programming, you'll find JavaScript
at every stage of a web site and web application. In this course, you'll learn
the fundamental programming concepts and syntax of the JavaScript programming
language.","https://www.coursetalk.com/providers/treehouse/courses/javascript-basics-2","Treehouse","$25/mo"
"5","Jason Tangen, Matthew Thompson, Emma MacKenzie","The Science of Everyday Thinking",10,"University of Queensland","1039 reviews","We will explore the psychology of our everyday thinking: why people believe weird things, how we form and change our opinions, why our expectations skew our judgments, and how we can make better decisions. We’ll discuss and debate topics such as placebos, the paranormal, medicine, miracles, and more.

You will use the scientific method to evaluate claims, make sense of evidence, and understand why we so often make irrational choices. You will begin to rely on slow, effortful, deliberative, analytic, and logical thinking rather than fast, automatic, instinctive, emotional, and stereotypical thinking.

We will provide tools for how to think independently, how to be skeptical, and how to value data over personal experience. We will examine the mental shortcuts that people use and misuse, and apply this knowledge to help make better decisions, and improve critical thinking.","https://www.coursetalk.com/providers/edx/courses/think101x-the-science-of-everyday-thinking-3","edX","Free"
"6","Andrew J. Friedland, Michael Goudzwaard, Justin Richardson, R. Michael Murray, Sawyer Broadley ‘08, Joby Bernstein ’17, Chloe Madill ‘17","Introduction to Environmental Science",10,"Dartmouth College","232 reviews","Introduction to Environmental Science, ENVX, was first offered in early 2015.

Environmental science is the study of patterns and processes in the natural world and their modification by human activity.  To understand current environmental problems, we need to consider physical, biological and chemical processes that are often the basis of those problems. This course will give you the skills necessary to address the environmental issues we are facing today by examining scientific principles and the application of those principles to natural systems.  This course will survey some of the many environmental science topics at an introductory level, ultimately considering the sustainability of human activities on the planet.

Environmental impacts on Earth come from the number of people and the amount and types of resources that they use. By applying scientific principles and considering real-world examples, we will examine:


	The field of environmental science and how to think like an environmental scientist
	The human population and the ways in which changes in the population affect the environment
	Agriculture, soils and the environmental implications of eating meat, vegetables, local, organic, sustainable, industrial and other types of food
	Non-renewable fossil fuels with a focus on coal, petroleum and natural gas and the benefits and consequences of using each
	Renewable fuels such as wind and solar and identify that even renewable “green” energy sources have impacts as well as benefits
	Biodiversity and global change, which are the integrating units of environmental science


Education method
The course will utilize video lectures, interviews with experts, readings, discussions, multiple choice and prompted discussions and one graded quiz per week. There will also be several optional live office hours on Google Hangouts.

Completion of self-assessments, contributions to discussion and quiz scores will determine the final grade.","https://www.coursetalk.com/providers/edx/courses/dartenvs01x-introduction-to-environmental-science-2","edX","Free"
"7","Karl Ulrich","Design: Creation of Artifacts in Society",10,"University of Pennsylvania","217 reviews","Combine fundamental concepts with hands-on design challenges to become a better designer.","https://www.coursetalk.com/providers/coursera/courses/design-creation-of-artifacts-in-society","Coursera","Free"
"8","Vincent Turner","Accounting in 60 Minutes - A Brief Introduction",10,"","234 reviews","Learn the very basics of accounting in just about an hour.","https://www.coursetalk.com/providers/udemy/courses/accounting-in-60-minutes-a-brief-introduction","Udemy","$19.00"
"9","Mike Brown","The Science of the Solar System",10,"Caltech","256 reviews","Explore the solar system using concepts from physics, chemistry, biology, and geology. Learn the latest from Mars, explore the outer solar system, ponder planets outside our solar system, and search for habitability in the universe.","https://www.coursetalk.com/providers/coursera/courses/the-science-of-the-solar-system","Coursera","Free"
"10","Rob Percival","The Complete Web Developer Course - Build 14 Websites",10,"","1409 reviews","Web development from scratch in 6 weeks. HTML, JS, CSS, PHP, MySQL, Bootstrap, Wordpress, APIs, Mobile Apps all covered. Lifetime access with no subscription on Udemy.com.","https://www.coursetalk.com/providers/udemy/courses/the-complete-web-developer-course-build-14-websites","Udemy","$199.00"
